분야,페이지,페이지 설명,Method,URL,권한,플로우,비고
BE,로그인,회원가입,POST,/v1/signup,모두,FE →  BE,
BE,로그인,로그인,POST,/v1/login,모두,FE →  BE,
BE,로그인,로그아웃,POST,/v1/logout,로그인한 사용자만,FE →  BE,
,,,,,,,
BE,프로필,유저 리스트 조회,GET,/v1/users,관리자만,FE →  BE,
BE,프로필,유저 정보 조회,GET,/v1/users/<int:user_id>,본인만,FE →  BE,
BE,프로필,유저 정보 수정,PATCH,/v1/users/<int:user_id>,본인만,FE →  BE,
BE,프로필,유저 회원 탈퇴,DELETE,/v1/users/<int:user_id>,본인만,FE →  BE,
BE,프로필,유저 셀로잉 이력 조회,GET,/v1/users/<int:user_id>/seloing,본인만,FE →  BE,is_complete == true인 이력만 조회
BE,프로필,유저 셀로잉 이력 상세 조회,GET,/v1/users/<int:user_id>/seloing/<int:seloing_id>,본인만,FE →  BE,
,,,,,,,
BE,셀로잉,관심사 주제 생성,POST,/v1/seloing/topics,로그인한 사용자만,FE →  BE,
BE,셀로잉,셀로잉 생성,POST,/v1/seloing,로그인한 사용자만,FE →  BE,
BE,셀로잉,녹음 파일 분석 요청,POST,/v1/seloing/<int:selong_id>/recording,로그인한 사용자만,FE →  BE,
BE,셀로잉,분석 상태 조회,GET,/v1/seloing/<int:selong_id>/progress,로그인한 사용자만,FE →  BE,
BE,셀로잉,AI 결과 콜백,POST,/v1/seloing/<int:seloing_id>,로그인한 사용자만,AI → BE,
BE,셀로잉,분석 결과 조회,GET,/v1/seloing/<int:selong_id>,로그인한 사용자만,FE →  BE,
BE,셀로잉,스탯 저장,POST,/v1/seloing/<int:selong_id>/stat,로그인한 사용자만,FE →  BE,
,,,,,,,
BE,지식/팁,지식 조회,GET,/v1/knowledge,모두,FE →  BE,
BE,지식/팁,팁 조회,GET,/v1/tips,모두,FE →  BE,
,,,,,,,
BE,랭킹,랭킹 조회,GET,/v1/ranking,로그인한 사용자만,FE →  BE,
BE,랭킹,랭킹 유저 조회,GET,/v1/ranking/<int:user_id>,로그인한 사용자만,FE →  BE,
,,,,,,,
,,,,,,,
,,,,,,,
AI,셀로잉,목소리 분석,POST,/ai/v1/selowhisper,,BE → AI,
